City_clean,Country,quality,area_km2,lat,long,country_code,xborder_country,geog_region,urban_incity,UC_NM_SRC,H75_AREAkm2,H90_AREAkm2,H00_AREAkm2,biome_list,elevavg_m,built75_km2,built90_km2,built00_km2,built15_km2,pop75,pop90,pop00,pop15,BUCAP75,BUCAP90,BUCAP00,BUCAP15,E_GR_AV90,E_GR_AV00,E_GR_AV14,E_GR_AH90,E_GR_AM90,E_GR_AL90,E_GR_AT90,E_GR_AH00,E_GR_AM00,E_GR_AL00,E_GR_AT00,E_GR_AH14,E_GR_AM14,E_GR_AL14,E_GR_AT14,SDG_LUE9015,SDG_A2G14,SDG_OS15MX
Perth,Australia,1,766,-31.94517038,115.8451125,AUS,Australia,Oceania,Perth; Joondalup,GISCO OSM,613,695,739,"Mediterranean Forests, Woodlands, and Scrub",26.1847378,441.7857971,474.9587097,501.1308289,511.5613403,729409.4564,897788.1697,1003109.493,1258344.095,605.6759935,529.0320431,499.5773964,406.5353366,0.38459069400000001,0.40275585000000003,0.36457779299999998,39.608684179999997,691.6105208,32.479313930000004,763.6985189,81.730851180000002,660.9171637,21.05050404,763.6985189,53.001699180000003,670.8878674,39.80895238,763.6985189,0.219892531,0.07905283,33.22
Melbourne,Australia,1,1610,-37.85556174,145.0747051,AUS,Australia,Oceania,Melbourne,GISCO OSM,1081,1420,1515,Temperate Broadleaf and Mixed Forests,63.49129334,871.4793701,1031.216553,1092.088745,1141.572632,2008709.436,2472023.352,2764161.076,3468083.796,433.8503889,417.154859,395.088678,329.1652391,0.424144407,0.43915537700000001,0.40252471400000001,580.34269600000005,972.4199388,54.04194593,1606.804581,554.86593019999998,1018.844529,33.09412113,1606.804581,368.31567469999999,1172.381064,66.10784227,1606.804581,0.30028951100000001,0.140426878,29.1
Johannesburg,South Africa,1,1638,-26.17977081,28.05553562,ZAF,South Africa,Africa,Johannesburg; Soweto; Randburg; Roodepoort; Krugersdorp; Sandton,GISCO OSM,945,1302,1529,Montane Grasslands and Shrublands,1624.343695,670.7595215,773.8983154,866.6450806,900.3624268,1600849.345,3025150.217,4345203.011,6516134.235,419.0022775,255.8214501,199.4486974,138.1743215,0.38178299599999999,0.39499279199999998,0.39132925899999998,162.9436479,1448.062339,19.65755919,1630.663546,196.14876380000001,1425.580129,8.934653438,1630.663546,339.6603925,1249.944102,41.05905151,1630.663546,0.19725379500000001,0.111603616,45.03
Helsinki,Finland,1,344,60.22358683,24.93691625,FIN,Finland,Europe,Helsinki; Vantaa,GISCO OSM,157,228,248,Boreal Forests/Taiga,21.54325409,79.15657806,90.95211792,107.6240997,117.050827,521428.8773,659523.2681,750682.5313,907385.5838,151.8070469,137.9058516,143.3683285,128.9978914,0.381812294,0.434963184,0.42589036699999999,151.4008249,166.4086409,27.22678512,345.0362509,216.8022254,109.2452169,18.98880871,345.0362509,207.13206640000001,112.2424958,25.66168879,345.0362509,0.79070643699999998,0.368109185,65.97
Vila Velha,Brazil,1,197,-20.32801679,-40.3508252,BRA,Brazil,Latin America and the Caribbean,Vila Velha; Cariacica; Vitória,GISCO OSM,149,182,190,Tropical and Subtropical Moist Broadleaf Forests,24.27346604,65.64474487,76.44506836,87.99647522,91.73557281,521352.2024,757738.1079,902624.8702,1076799.097,125.9124726,100.8858702,97.48953095,85.19283964,0.35149604600000001,0.37452842200000003,0.35053126699999998,59.133990089999998,125.2162197,11.59147468,195.9416845,85.660027639999996,99.63788611,10.64377076,195.9416845,79.701904010000007,103.9502426,12.28953792,195.9416845,0.51887439999999996,0.141281717,53.43
Chetumal,Mexico,1,31,18.519894270000002,-88.30280762,MEX,Mexico,Latin America and the Caribbean,Chetumal,GISCO OSM,27,29,29,Tropical and Subtropical Moist Broadleaf Forests,9.128188264,9.101436615,14.48806286,17.29773521,18.54854202,57791.13104,94826.8717,123527.2662,162671.8784,157.4884667,152.7843595,140.0317173,114.024269,0.33179381400000002,0.39315076700000001,0.34873813799999998,3.738909633,24.98020786,2.237953351,30.95707084,11.51283314,19.32586478,0.118372922,30.94227489,5.547587751,25.29111017,0.118372922,30.95707084,0.45779918200000003,0.106949482,40.159999999999997
Sao Paulo,Brazil,1,2005,-23.57275267,-46.59943039,BRA,Brazil,Latin America and the Caribbean,São Paulo; Guarulhos; Sao Bernardo do Campo; Osasco; Santo Andre; Mauá; Mogi das Cruzes; Diadema; Carapicuíba; Itaquaquecetuba; Taboão da Serra; Suzano; Barueri; Embu das Artes; Cotia; Itapevi; Ferraz de Vasconcelos; São Caetano do Sul; Santana de Parnaíb,GISCO OSM,1724,1851,1957,Tropical and Subtropical Moist Broadleaf Forests,777.7174839,1059.775024,1251.603516,1362.963379,1397.375366,10677361.63,14720332.64,16916502.17,19114337.2,99.25439083,85.02549138,80.57004726,73.10613763,0.26582729900000002,0.27424882900000003,0.28306528199999997,322.09879430000001,1329.823515,344.0390483,1995.961358,362.34455150000002,1434.70654,198.9102663,1995.961358,428.25344680000001,1269.325795,298.3821159,1995.961358,0.42177032399999997,0.058184628,30.31
Milan,Italy,1,754,45.54463407,9.1899412,ITA,Italy,Europe,Milan; Monza,GISCO OSM,617,708,721,Temperate Broadleaf and Mixed Forests,162.1457557,420.9264526,448.5116577,466.7659607,474.1089783,2916071.575,2971510.125,2944441.269,3011029.841,144.3470922,150.9372807,158.5244595,157.457416,0.19680895200000001,0.42379530999999998,0.433224477,2.5700448759999999,524.4355755,227.5395654,754.5451858,372.48719060000002,381.3568421,0.701153125,754.5451858,385.6563324,366.785394,2.103459375,754.5451858,4.2009575479999999,0.226456974,51.15
Cleveland,United States,1,950,41.47505094,-81.64622338,USA,United States,Northern America,Cleveland; Parma,GISCO OSM,615,751,918,Temperate Broadleaf and Mixed Forests,246.1646423,494.8654785,608.3662109,653.6108398,659.6998901,984675.6333,1224596.739,1352855.464,1188874.549,502.5669995,496.7890178,483.1342721,554.8944508,0.46073407900000002,0.49065770399999997,0.50876277800000003,539.47561040000005,360.48434,51.37341623,951.3333665,581.90804149999997,327.0735462,42.3517789,951.3333665,625.25979380000001,281.0621929,45.01137987,951.3333665,-2.7363412469999999,0.661769535,65.819999999999993
Denver,United States,1,1362,39.72837393,-104.9803877,USA,United States,Northern America,Denver; Aurora; Centennial; Edgewater,GISCO OSM,595,1020,1243,"Temperate Grasslands, Savannas, and Shrublands",1673.179747,490.663269,778.9943848,948.6149292,1011.949829,1158042.03,1488885.048,1839649.19,2229499.864,423.7007433,523.2065335,515.6499044,453.8909581,0.38945293600000003,0.40987043099999998,0.42832319200000002,194.643247,1135.429115,29.17520672,1359.247569,280.40479440000001,1058.115564,20.7272101,1359.247569,402.8289633,923.4071617,33.01144391,1359.247569,0.64800150499999998,0.239672364,29.58
