id,SR,H,SRsp,Hsp,FDsp,Coversp,SRpl,Hpl,FDpl,Coverpl,Zone,EC,pHKCl,Cnratio,sub_depth,Age,RoofHeigh,surfarea_log,SVF,PROX200,SDH200,HLI,VisitYear,Vegday,Roofname,roofclust
ID62_z1,7,1.925408,3,1.098612,5.986243,3,4,1.373004,0.083213,5.5,2,0.07,7.12,22.74,5,6,9.24466,4.382027,0.66465,26.4913,11.00561,0.826506,2015,87,ID62,C13
ID62_z2,14,2.506662,10,2.253858,7.697557,12,4,1.153742,0.070947,7,1,0.07,6.99,20.03,5,6,9.24466,4.382027,0.66465,26.4913,11.00561,0.826506,2015,87,ID62,C13
ID63_z1,15,1.25738,5,1.386294,3.63633,0.8,10,1.195062,0.071273,72.4,2,0.33,7.04,18.4,5,12,8.80986,6.721426,0.806281,28.6084,11.84281,0.840088,2015,35,ID63,ID63
ID66_z1,7,1.164774,2,0.693147,0.776336,2,5,1.037978,0.068511,63,2,0.18,5.98,20.47,5,2,2.91122,3.295837,0.607613,21.0072,3.913465,0.712077,2016,65,ID66,C16
ID66_z2,11,0.927558,6,1.791759,3.562949,6,5,0.482963,0.016382,56,1,0.11,6.7,18.9,5,2,2.91122,3.295837,0.607613,21.0072,3.913465,0.712077,2016,65,ID66,C16
ID7_z1,12,1.854431,4,1.332179,2.486916,1.25,8,1.646622,0.138362,19.625,2,0.23,6.57,20.765,3,5,7.79872,5.120983,0.960113,35.2572,4.772499,0.845797,2016,93,ID7,C1
ID74_z1,10,0.9251,5,1.609438,5.950064,5,5,0.656421,0.02724,84.5,2,0.28,6.51,18.93,2,1,13.51565,4.60517,0.94251,NA,7.289469,0.779323,2015,29,ID74,ID74
ID74_z2,4,0.341068,0,0,NA,0,4,0.341068,0.017342,54,1,0.21,6.08,20.41,2,1,13.51565,4.60517,0.94251,NA,7.289469,0.779323,2015,29,ID74,ID74
ID74_z4,12,0.800426,7,1.906155,7.32446,4,5,0.560418,0.019997,86.75,1,0.32,6.46,19.51,2,1,13.51565,4.60517,0.94251,NA,7.289469,0.779323,2015,29,ID74,ID74
ID74_z5,7,0.95053,1,0,0,1,6,0.896623,0.037361,83,1,0.39,6.27,21.99,2,1,13.51565,4.60517,0.94251,NA,7.289469,0.779323,2015,29,ID74,ID74
