City_clean,Country,lat,long,LISA_P,LISA_CL,cv2,cv2_min,cv2_max,cv2_SD,cv1,cv1_min,cv1_max,cv1_SD,Continent,CellArea,cv,cv_min,cv_max,cv_SD,Age_mean,Age_min,Age,Age_SD
Salvador,Brazil,-12.92433867,-38.42545334,0.0100000,"3",24.39593339000,4.86323452000,31.23053360000,13.02422807000,30.07807017000,27.88655853000,33.03115845000,2.23014668000,"4",334.76239014000,57.75059414000,38.66296005000,65.45079041000,12.76760979280,7.00000000000,"7","7",0.00000000000
Florianopolis,Brazil,-27.59519191,-48.61715306,0.1600000,"0",31.93096876000,31.66274071000,32.09257889000,0.18602057000,50.40623474000,49.37440491000,51.02651596000,0.71531131000,"4",304.41558838000,79.19427871750,78.32718658000,79.71481323000,0.60097152443,7.00000000000,"7","7",0.00000000000
Vila Velha,Brazil,-20.32801679,-40.3508252,0.1000000,"0",74.62333012000,33.26640701000,123.46827698000,38.78025412000,39.99747467000,39.99747467000,39.99747467000,0.00000000000,"4",322.22479248000,161.83698082000,75.91188812000,244.94895935000,69.02820601550,3.00000000000,"1","7",2.70801280155
Sao Paulo,Brazil,-23.57275267,-46.59943039,0.0200000,"3",4.60148030000,0.00000000000,10.97227955000,4.69437820000,40.64807987000,40.18550110000,41.15169525000,0.39897077000,"4",314.76760864000,46.81406307250,39.80980682000,53.57417297000,5.66488676262,7.00000000000,"7","7",0.00000000000
Rio Branco,Brazil,-9.967801296,-67.82228556,0.1100000,"0",44.59553528000,44.59553528000,44.59553528000,0.00000000000,12.34150696000,12.34150696000,12.34150696000,0.00000000000,"4",338.32180786000,80.99581909000,80.99581909000,80.99581909000,0.00000000000,7.00000000000,"7","7",0.00000000000
Curitiba,Brazil,-25.44276336,-49.26146328,0.1200000,"0",26.06311703000,25.76763344000,26.28487396000,0.21881505000,62.52572155000,61.26470566000,63.46928406000,0.93293034000,"4",310.21040344000,93.45051765750,92.70394135000,94.00796509000,0.55198118767,7.00000000000,"7","7",0.00000000000
Joao Pessoa,Brazil,-7.145364178,-34.87174461,0.4300000,"0",19.58352852000,16.53721428000,22.54188728000,3.00330261000,76.66068522000,42.56374741000,142.14630127000,56.72837120000,"4",340.83160400000,60.75208409330,54.74222946000,70.94336700000,8.87313198376,6.33333333333,"5","7",1.15470053838
Goiania,Brazil,-16.71153307,-49.28015866,0.1900000,"0",31.52231073000,28.80007362000,34.16522598000,2.82963621000,52.92119026000,48.31722260000,57.17015076000,4.11397033000,"4",328.88079834000,89.12082290500,83.37384796000,94.56320953000,5.67372697489,7.00000000000,"7","7",0.00000000000
Brasilia,Brazil,-15.768422,-47.88150565,0.4600000,"0",70.95368703000,54.19173431000,89.55581665000,17.75371139000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"4",330.55819702000,161.03592936300,147.82600403000,170.93173218000,11.90404235450,2.66666666667,"2","3",0.57735026919
Vancouver,Canada,49.2292552,-122.9851417,0.0100000,"3",47.58712196000,47.27723312000,47.82121277000,0.23354455000,65.12320519000,64.50698090000,65.87626648000,0.61384194000,"3",224.19240570000,111.15092659000,110.44464111000,111.74286652000,0.55673696638,7.00000000000,"7","7",0.00000000000
Victoria,Canada,48.4509848,-123.3612509,0.2300000,"0",45.26406479000,44.77857208000,45.70962906000,0.42912133000,73.77035045000,60.93708801000,107.41693878000,22.46237992000,"3",227.95280458000,108.44249725700,105.98165131000,112.56923676000,2.86380820675,6.50000000000,"5","7",1.00000000000
Montreal,Canada,45.53269003,-73.66822949,0.0100000,"3",27.68659067000,25.12848091000,28.78616142000,1.71751834000,44.86384773000,42.77782440000,47.54656601000,2.03108533000,"3",240.37279510000,74.13006973250,71.93418884000,75.73714447000,1.63293711622,7.00000000000,"7","7",0.00000000000
Edmonton,Canada,53.54200131,-113.4855766,0.1600000,"0",43.98159218000,43.26509857000,44.59949875000,0.59268009000,74.95367559000,60.40362167000,103.11014557000,24.38878256000,"3",203.89179992000,112.73593139800,102.37036896000,136.69680786000,16.21768907310,5.50000000000,"3","7",1.91485421551
Calgary,Canada,51.039687,-114.0703599,0.1800000,"0",44.32705688000,43.87349319000,44.71673203000,0.44721449000,62.14197922000,61.68905640000,62.76429367000,0.52516346000,"3",215.75360108000,102.79533958500,101.89467621000,103.52304840000,0.83660742170,6.50000000000,"6","7",0.57735026919
Beijing,China,39.89899941,116.3498742,0.0200000,"4",104.86314488000,22.76653671000,200.00000000000,91.92572100000,121.28516102000,18.96354103000,223.60678101000,144.70462271000,"5",263.42100526000,168.75166893000,69.15091705000,244.94898987000,90.03621523150,3.25000000000,"1","7",2.87228132327
Hangzhou,China,30.22283817,120.3168158,0.1600000,"0",14.81493727000,8.68995571000,17.88949013000,5.30440335000,150.38185350000,3.93196797000,223.60679626000,126.82932125000,"5",296.68699646000,75.43287341000,16.94295311000,116.51009369000,52.01735731760,5.00000000000,"4","7",1.73205080757
Nanjing,China,32.01271314,118.8093005,0.0800000,"0",12.01611042000,0.00000000000,16.06512451000,8.01080718000,147.16886078000,0.00005863000,223.60679626000,105.47786959000,"5",290.99978638000,62.41502994000,0.00005506000,90.72883606000,42.94088570040,5.00000000000,"4","7",1.41421356237
Wuhan,China,30.55372322,114.2947295,0.1800000,"0",11.25241113000,0.00000000000,21.12317657000,11.44069734000,113.71972117000,1.92017496000,223.60679626000,126.89627284000,"5",295.67539978000,51.55530295000,1.64313543000,95.37410736000,50.83106982160,5.50000000000,"4","7",1.73205080757
Shanghai,China,31.19249624,121.4271278,0.0100000,"4",97.76994848000,25.90421104000,200.00000000000,73.20843211000,35.84817123000,35.84817123000,35.84817123000,0.00000000000,"5",293.62199402000,147.66195011200,58.80196762000,244.94898987000,77.43409538170,3.00000000000,"1","6",2.16024689947
San Jose,Costa Rica,9.951750245,-84.11429303,0.0500000,"1",108.42491484000,25.50352287000,200.00000000000,73.79160665000,45.91671181000,32.77993774000,59.05348587000,18.57820405000,"3",338.32160950000,169.38430976700,74.66011810000,244.94895935000,79.12734707520,4.25000000000,"1","7",3.20156211872
Turku,Finland,60.45004137,22.2436126,0.1800000,"0",17.59016943000,11.23785496000,23.94248390000,8.98352928000,34.10526657000,32.00725174000,36.20328140000,2.96704103000,"1",169.55879974000,50.98790169000,45.18774033000,56.78806305000,8.20266685926,7.00000000000,"7","7",0.00000000000
Helsinki,Finland,60.22358683,24.93691625,0.0300000,"3",13.72249174000,4.28464460000,24.29360962000,10.05250701000,37.44549688000,33.69937897000,44.52825928000,6.13726808000,"1",170.42720032000,52.44664891330,40.39046097000,68.55136108000,14.51040954080,7.00000000000,"7","7",0.00000000000
Marseille,France,43.30069617,5.407161707,0.1000000,"0",33.54249175000,4.75717878000,58.15539932000,26.94251685000,30.22487450000,29.91516876000,30.53458023000,0.43799005000,"1",250.16120148000,93.85144806000,37.82955933000,163.35780334000,63.84127301100,5.33333333333,"2","7",2.88675134595
Rennes,France,48.11255158,-1.663433216,0.0900000,"0",35.70623970000,35.28553391000,36.22171402000,0.38681741000,100.57650709000,18.58291435000,223.60679626000,88.08780353000,"1",229.44339752000,84.98080635000,66.82186127000,107.81636047000,17.57379105460,5.75000000000,"4","7",1.25830573921
Paris,France,48.83990462,2.322010194,0.0100000,"3",72.30451012000,5.92858887000,200.00000000000,86.88365970000,60.60817337000,43.68912125000,91.97351074000,27.19130257000,"1",225.70220184000,123.07887935500,34.41283798000,244.94895935000,89.00018368660,5.50000000000,"1","7",3.00000000000
Brunswick,Germany,52.26976525,10.52497596,0.0100000,"3",39.53271866000,39.41512299000,39.65629196000,0.11391709000,108.26636791000,33.57077789000,223.60678101000,92.34281793000,"1",210.26779938000,92.25190353500,79.78042603000,112.84673309000,15.83217922810,5.75000000000,"4","7",1.50000000000
Berlin,Germany,52.50695177,13.40979396,0.0100000,"3",64.64690400000,34.84461594000,123.54655457000,39.91947210000,102.64064026000,35.47258759000,223.60679626000,104.97283963000,"1",208.68439484000,111.90822982800,39.05574036000,244.94895935000,91.19422145550,4.75000000000,"1","7",2.87228132327
Hamburg,Germany,53.57410427,9.993622262,0.0200000,"3",50.49021435000,17.81791687000,122.47449493000,49.40614566000,87.92393621000,38.72805405000,153.36021423000,59.01648821000,"1",203.89179992000,119.16131401000,59.09037781000,244.94895935000,84.83587705020,5.00000000000,"1","7",2.82842712475
Munich,Germany,48.13800202,11.56343509,0.0200000,"3",30.80185747000,9.32977486000,47.14902496000,19.30899357000,48.38082314000,38.28703308000,77.80722046000,19.61865983000,"1",229.44339752000,77.87629318250,50.14037323000,101.51441956000,25.08208505490,6.75000000000,"6","7",0.50000000000
Rome,Italy,41.89715399,12.53231298,0.0500000,"3",8.16072282000,0.00000000000,32.64281464000,16.32139455000,53.41802216000,15.25686646000,112.56582642000,51.93830942000,"1",255.56940460000,59.47682285250,12.77586555000,132.03039551000,53.16544032530,5.50000000000,"3","7",1.91485421551
Milan,Italy,45.54463407,9.1899412,0.0100000,"3",7.78874105000,0.00006651000,17.85427094000,8.43651819000,101.57400370000,27.33745003000,223.60679626000,92.32481597000,"1",240.37279510000,56.48571157250,23.35861397000,94.28170013000,32.56179642240,5.75000000000,"4","7",1.50000000000
Tokyo,Japan,35.68148131,139.649416,0.0200000,"3",26.08891630000,0.00000000000,51.65281296000,21.19911633000,111.70950826000,20.35967255000,223.60678101000,103.16973709000,"5",278.73760986000,94.16185665250,62.98354721000,153.28013611000,41.65973577700,5.00000000000,"3","7",1.82574185835
Osaka [Kyoto],Japan,34.70012803,135.4198332,0.0500000,"3",14.78286342000,0.00006042000,51.05525208000,24.47943943000,71.50853455000,6.27633333000,152.29438782000,68.66329529000,"5",282.19720458000,40.25005316750,5.95736599000,68.59075165000,31.70133069020,6.25000000000,"5","7",0.95742710776
Sapporo,Japan,43.07052122,141.3738144,0.1200000,"0",10.61945915000,8.17146873000,12.03935814000,2.12905404000,19.70924346000,9.55518246000,33.45542908000,12.34839935000,"5",250.84459686000,27.90590667670,18.22636795000,36.84837341000,9.33285744992,7.00000000000,"7","7",0.00000000000
Chetumal,Mexico,18.51989427,-88.30280762,0.0500000,"3",87.58884430000,87.58884430000,87.58884430000,0.00000000000,153.48239136000,153.48239136000,153.48239136000,0.00000000000,"3",325.54560852000,176.13165283000,176.13165283000,176.13165283000,0.00000000000,5.00000000000,"5","5",0.00000000000
Mexico city,Mexico,,,,,,,,,,,,,,,,,,,,,,
Dunedin,New Zealand,-45.8810598,170.4983027,0.2500000,"0",3.59085077000,3.46131802000,3.72869372000,0.11178537000,65.47332048000,10.19357109000,223.60679626000,105.45723781000,"6",238.94180298000,31.43312931250,9.82625294000,86.69914246000,37.00498366190,6.25000000000,"4","7",1.50000000000
Oslo,Norway,59.90823209,10.74324845,0.0400000,"3",17.64136771000,0.00000000000,54.71503830000,25.82049773000,10.34519323000,0.00000000000,25.91553879000,13.72517579000,"1",172.15899658000,53.23874664250,0.00000000000,158.64570618000,72.68592063870,5.75000000000,"2","7",2.50000000000
